feature_set,target,task,model,cv_scheme,feature_type,n_components,train_pearson_r_mean,train_pearson_r_std,train_mse_mean,train_mse_std,test_pearson_r_mean,test_pearson_r_std,test_mse_mean,test_mse_std,train_f1_mean,train_f1_std,train_accuracy_mean,train_accuracy_std,test_f1_mean,test_f1_std,test_accuracy_mean,test_accuracy_std
slow_deg2_15,valence,classification,logistic_regression,group_kfold,slow_deg2,15.0,0.3676641223129686,0.010648238499367886,,,0.28780241840312876,0.20293314435906076,,,0.6457634489249646,0.007690967767470159,0.646543015176302,0.007307143579853022,0.6275052146295154,0.08911462224264456,0.607406932179675,0.10073176655623496
slow_deg2_15,valence,classification,logistic_regression,kfold,slow_deg2,15.0,0.36560904402667216,0.0011239892080296093,,,0.36329049148331316,0.01874538106116836,,,0.6439478146769726,0.0010811505748537934,0.6444251224941968,0.0010638182392208777,0.6423093754876967,0.014507383689494183,0.6428112894884055,0.014462046460278747
slow_deg2_15,valence,classification,mlp_classifier,group_kfold,slow_deg2,15.0,0.9668501912761331,0.0060268534668313275,,,0.1596519979485779,0.14554683151527875,,,0.9809195933151028,0.004114067422769218,0.9809216035942716,0.004112537099389634,0.6057141091268982,0.06927246833197215,0.5858738403772321,0.061995805966677704
slow_deg2_15,valence,classification,mlp_classifier,kfold,slow_deg2,15.0,0.9656450357768303,0.00883352647240288,,,0.8970438447379327,0.013826669663397592,,,0.9804286880964782,0.005766555066258593,0.9804296544354655,0.0057654813384893,0.9351712847699125,0.009419960658371095,0.9351751580591705,0.009415495500157037
slow_deg2_20,arousal,classification,logistic_regression,group_kfold,slow_deg2,20.0,0.3862343422202068,0.009232654710295416,,,0.3097287374961407,0.1952029753104558,,,0.6543882654095559,0.0056508957485803014,0.6546491310235848,0.0056277755067627565,0.6209170267374454,0.10437669725244898,0.6084669682229036,0.10515886907882994
slow_deg2_20,arousal,classification,logistic_regression,kfold,slow_deg2,20.0,0.38389030839984856,0.0022308141220727263,,,0.3806484239225171,0.03786772319675369,,,0.6530182062184351,0.0015647180210742145,0.6530915361168235,0.0015747409684121036,0.6508906503220978,0.02168499926534974,0.6509999683353915,0.021652750674603857
slow_deg2_20,arousal,classification,mlp_classifier,group_kfold,slow_deg2,20.0,0.9790428905669596,0.004294891635992155,,,0.16442225957956408,0.15117513501964802,,,0.988910866415267,0.0030579624524048796,0.9889109684548026,0.003058575711446945,0.5871809384511031,0.0709973313178663,0.5693328447958247,0.07541371130063071
slow_deg2_20,arousal,classification,mlp_classifier,kfold,slow_deg2,20.0,0.9754573875808865,0.005485961417246074,,,0.9068702174436248,0.016076826666752204,,,0.9863176002815369,0.00372799419862027,0.986318351567724,0.0037269833848815126,0.9408281116451493,0.010127711133077989,0.9408399565139377,0.01011058058514995
slow_deg2_20,valence,classification,logistic_regression,group_kfold,slow_deg2,20.0,0.3937685671254646,0.009275261447670474,,,0.3025503280641455,0.19273537871581686,,,0.6533022765577633,0.0062290002997308375,0.6536303488290692,0.006304405376112224,0.6267686145941473,0.09526703974393379,0.607207264832791,0.10082699219381884
slow_deg2_20,valence,classification,logistic_regression,kfold,slow_deg2,20.0,0.39095936018209776,0.0012701884209443898,,,0.38802791052172914,0.021758141891794702,,,0.6517145860586636,0.0010886768928680581,0.6518084619467861,0.0010808986807605728,0.6494811678428936,0.010933753397680636,0.649623507805326,0.010893510891604532
slow_deg2_20,valence,classification,mlp_classifier,group_kfold,slow_deg2,20.0,0.9822277899237365,0.003548380979246008,,,0.1961486371025888,0.1431526999796976,,,0.9912027183312193,0.0023108825436232243,0.9912029796583229,0.002310075275020366,0.6042727677250855,0.06879188160772838,0.5812818749656068,0.0739351638186905
slow_deg2_20,valence,classification,mlp_classifier,kfold,slow_deg2,20.0,0.9827049328360891,0.0035116280056664007,,,0.9209176134150167,0.013041424022742285,,,0.9914865180628198,0.002316218145659152,0.9914866746652573,0.002315997091851638,0.9489462436299729,0.009471825032836275,0.9489505293267047,0.009467943285451225
slow_deg2_25,arousal,classification,logistic_regression,group_kfold,slow_deg2,25.0,0.39496335989909676,0.009335361659801937,,,0.3062531319757683,0.19089371079626813,,,0.6612515544574878,0.006555006544388415,0.66148850912721,0.006601331666736077,0.6167972180728286,0.09728815376310314,0.6040966492342635,0.09962116341043716
slow_deg2_25,arousal,classification,logistic_regression,kfold,slow_deg2,25.0,0.3921820343408038,0.0021463529751137864,,,0.38855625086545564,0.03663180165274584,,,0.6612468730097331,0.0011751715132073814,0.661303245315712,0.001178490422228281,0.65898452269772,0.02012252988604642,0.6590364459643456,0.020096596074437593
